word	valence	arousal	dominance	goodness	energy	structure	power	danger	structure
acceleration	0.203980	0.405034	0.342845	0.280736	0.487488	0.082132	0.543216	0.146196	0.082132
accelerator	0.092980	0.330034	0.311845	0.181143	0.426510	0.009537	0.429676	0.173501	0.009537
accent	0.097980	-0.142966	0.008845	0.110231	-0.128786	-0.037160	-0.013120	-0.169011	-0.037160
accentuate	0.172980	0.056034	0.166845	0.221352	0.109085	-0.001670	0.233654	-0.079384	-0.001670
accept	0.346980	-0.213966	0.064845	0.362850	-0.196723	0.004630	0.117470	-0.395678	0.004630
acceptable	0.311980	-0.213966	0.082845	0.341286	-0.181382	-0.024502	0.113069	-0.369582	-0.024502
acceptance	0.332980	-0.212966	0.254845	0.442075	-0.090666	-0.132382	0.248484	-0.376705	-0.132382
acceptances	0.346980	-0.086966	0.147845	0.383841	-0.046949	0.016677	0.238219	-0.304614	0.016677
access	0.213980	-0.027966	0.066845	0.221167	-0.020967	0.041029	0.141562	-0.171215	0.041029
accessible	0.295980	-0.089966	0.144845	0.338797	-0.042915	-0.007276	0.209220	-0.269911	-0.007276
accession	0.111980	-0.116966	0.135845	0.179578	-0.040721	-0.103768	0.098187	-0.155775	-0.103768
accessory	0.061980	-0.207966	-0.055155	0.058035	-0.211365	-0.045716	-0.108421	-0.190495	-0.045716
accident	-0.375020	0.408034	-0.164155	-0.463857	0.307473	0.156128	-0.110580	0.545413	0.156128
accidental	-0.181020	0.284034	-0.193155	-0.291745	0.158504	0.201280	-0.094216	0.318374	0.201280
accidentally	-0.167020	0.241034	-0.167155	-0.260716	0.134888	0.166632	-0.088974	0.279735	0.166632
acclaim	0.061980	0.309034	0.217845	0.112253	0.363172	0.048013	0.336176	0.177427	0.048013
accolade	0.187980	0.091034	0.274845	0.281072	0.194116	-0.049809	0.336008	-0.061487	-0.049809
accommodate	0.343980	-0.124966	0.065845	0.347450	-0.122274	0.051011	0.159223	-0.332144	0.051011
accommodation	0.316980	-0.084966	0.086845	0.328266	-0.073582	0.045437	0.180089	-0.284149	0.045437
accompaniment	0.239980	-0.020966	0.194845	0.304197	0.050049	-0.030885	0.250490	-0.179709	-0.030885
accompany	0.332980	-0.093966	0.084845	0.342466	-0.084643	0.049560	0.182309	-0.302012	0.049560
accompanying	0.286980	-0.039966	0.081845	0.293229	-0.034380	0.059061	0.183034	-0.231654	0.059061
accomplice	-0.092020	0.080034	0.009845	-0.086689	0.086046	-0.007161	-0.000455	0.122142	-0.007161
accomplish	0.428980	0.173034	0.315845	0.496712	0.245554	0.081870	0.524862	-0.177595	0.081870
accomplished	0.369980	0.020034	0.297845	0.459937	0.118976	-0.017325	0.409354	-0.241096	-0.017325
accomplishment	0.416980	0.194034	0.387845	0.517873	0.303825	0.037987	0.581028	-0.151355	0.037987
accord	0.397980	-0.235966	-0.118155	0.322086	-0.322212	0.143067	-0.000089	-0.455588	0.143067
accordance	0.158980	-0.150966	0.099845	0.207918	-0.095785	-0.075030	0.079290	-0.214751	-0.075030
accordion	0.103980	-0.009966	-0.139155	0.024304	-0.100243	0.140128	-0.053697	-0.088068	0.140128
account	0.030980	-0.152966	-0.028155	0.036046	-0.146407	-0.049160	-0.078037	-0.129014	-0.049160
