"wlouisos",,,"William F. Louisos"
"dhitt",,,"Darren Lee Hitt"
"jmolofsk",,,"Jane Molofsky"
"ecrone",,,"Elizabeth E. Crone"
"eridouane",,,"El Hassan Ridouane"
"torfeo",,,"Thomas Orfeo"
"severse",,,"Stephen J. Everse"
"kmann",,,"Kenneth G. Mann"
"kbrummelziedins",,,"Kathleen E. Brummel-Ziedins"
"rlieblappen",,,"Ross M. Lieb-Lappen"
"whayes",,,"Wayne B. Hayes"
"amalykh",,,"Anton V. Malykh"
"hli",,,"Hong Li"
"ekalnay",,,"Eugenia Kalnay"
"tmiyoshi",,,"Takemasa Miyoshi"
"jyu",,,"Jun Yu"
"lgross",,,"Laura K. Gross"
"kmorrow",,,"Kate L. Morrow"
"trowland",,,"Todd Rowland"
"jyorke",,,"James A. Yorke"
"kchichak",,,"Karim J. Chichakly"
"wbowden","http://www.uvm.edu/~wbowden/","http://www.uvm.edu/~wbowden/Personal/Breck/Breck_at_aufeis_(MG).jpg","William B. Bowden"
"jhorbar",,,"Jeffrey D. Horbar"
"kaleahy",,,"Kathleen A. Leahy"
"mkenny",,,"Michael  J. Kenny"
"smukherjee",,,"Shreya Mukherjee"
"jbuzas",,,"Jeffrey S. Buzas"
"skauffman",,,"Stuart A. Kauffman"
"dkgrover",,,"David K. Grover"
"bwhite",,,"Bill C. White"
"jmoore",,,"Jason H. Moore"
"bzhu",,,"B. Zhu"
"esevickmuraca",,"http://www.uth.edu/dotAsset/1145214.jpg","Eva M. Sevick-Muraca"
"agodavarty","http://web.eng.fiu.edu/~godavart/","http://web.eng.fiu.edu/~godavart/index_files/image002.jpg","Anuradha Godavarty"
"jbever",,,"James D. Bever"
"ffedele",,,"Francesco Fedele"
"jlaible",,,"Je&#64256;rey P. Laible"
"czhang4",,,"Chaoyang Zhang"
"athompson",,,"Alan B. Thompson"
"rroy",,,"R. Roy"
"mgur&#64257;nkel",,,"M. Gur&#64257;nkel"
"stheru",,,"Sangeeta Theru"
"dhawrysz",,,"Daniel J. Hawrysz"
"jlee",,,"Jangwoen Lee"
"ddougherty",,,"David E. Dougherty"
"ttroy",,,"Tamara L. Troy"
"bheinric",,,"Bernd Heinrich"
"jkrupa",,,"Joseph S. Krupa"
"schatterjee",,,"Somdeb Chatterjee"
"eeldridge",,,"Ethan Eldridge"
"mpellon",,,"Michael B. Pellon"
"lbesaw",,,"Lance E. Besaw"
"phaake",,,"Paul Haake"
"jgilbert",,,"Joshua Gilbert"
"blee",,,"Brian H.Y. Lee"
"dlanute",,,"D. Brad Lanute"
"dgaalema",,,"Diann E. Gaalema"
"klakkaraju",,,"Kiran Lakkaraju"
"cwarrender",,,"Christina E. Warrender"
"ddehaas",,,"Drew DeHaas"
"jcraig",,,"Jesse Craig"
"crickert",,,"Colin Rickert"
"kstor",,,"Kirsten Stor"
"ajoshi",,,"Amit Joshi"
"jguarnaccia",,,"Joseph F. Guarnaccia"
"lgao",,,"Liang Gao"
"csong",,,"Chaoming Song"
"zgao",,,"Ziyou Gao"
"abarabasi",,,"Albert-László Barabási"
"dwang",,,"Dashun Wang"
"lshekhtman",,,"Louis M. Shekhtman"
"dbrockmann",,,"Dirk Brockmann"
"owoolleymeza",,,"Olivia Woolley-Meza"
"dgrady",,,"Daniel Grady"
"cthiemann",,,"Christian Thiemann"
"ylin",,,"Yu-Ru Lin"
"cnoble",,,"Charleston Noble"
"ssaavedra",,,"Serguei Saavedra"
"yahn",,,"Yong-Yeol Ahn"
"sahnert",,,"Sebastian E. Ahnert"
"lschulman",,,"L. S. Schulman"
"bgaveau",,,"B. Gaveau"
"dlazer",,,"David Lazer"
"slehmann",,,"Sune Lehmann"
"tkoren",,,"Tal Koren"
"jsun",,,"Jie Sun"
"ebollt",,,"Erik M. Bollt"
"jskufca",,,"Joseph D. Skufca"
"jcampuzano",,,"J. M. Campuzano"
"dbenavraham",,,"Daniel ben-Avraham"
"lcosta",,,"Luciano da F. Costa"
"hrozenfeld",,,"H. D. Rozenfeld"
"mnordhaus",,,"Miranda K. Nordhaus"
"hnewberg",,,"Heidi Jo Newberg"
"tbeers",,,"Timothy Beers"
"jkern",,,"Jamie Kern"
"crider",,,"Cristin Rider"
"jsmith",,,"J. Allyn Smith"
"dtucker",,,"Douglas Tucker"
"byanny",,,"Brian Yanny"
